id;name;date_created;date_last_modified;content;status
1;Investor Public-key;2019-09-20T13:59:28;2019-09-20T04:43:35;Way Dominican Republic;DRAFT
2;Re-contextualized;2019-09-19T22:11:37;2019-09-20T08:38:31;invoice withdrawal;DRAFT
3;installation;2019-09-20T12:59:32;2019-09-20T00:46:09;HDD;SENT
4;firewall;2019-09-19T22:02:27;2019-09-20T12:01:58;deposit Sausages;SENT
5;bricks-and-clicks Concrete Global;2019-09-19T20:24:46;2019-09-20T00:46:12;Profound;DRAFT
6;Borders content-based;2019-09-19T17:33:32;2019-09-20T15:14:03;Customer Human deposit;SENT
7;Internal AI optical;2019-09-20T02:03:36;2019-09-19T21:02:48;Marketing;SENT
8;Branding;2019-09-19T18:06:03;2019-09-20T17:20:50;Gloves;DRAFT
9;Devolved driver Networked;2019-09-20T09:39:33;2019-09-20T13:10:37;world-class program alarm;SENT
10;Berkshire;2019-09-20T02:11:48;2019-09-20T11:06:14;Persevering;SENT
